
date,run,weekly,Total,bike,weekly,total,swim,weekly,total,description,
2/16/2015,,41.5,236.3,,0,0,,0,0,,
2/17/2015,1.2,36.2,237.5,,0,0,,0,0,in the snow,
2/18/2015,1.5,37.7,239,,0,0,,0,0,,
2/19/2015,,34.7,239,,0,0,,0,0,,
2/20/2015,,34.7,239,,0,0,,0,0,,
2/21/2015,4.1,6.8,243.1,,0,0,,0,0,"at charlotte. felt good, a little under 9:00 pace",1664.3
2/22/2015,,6.8,243.1,,0,0,,0,0,,
2/23/2015,2.7,9.5,245.8,,0,0,,0,0,,
2/24/2015,2.7,11,248.5,,0,0,,0,0,,
2/25/2015,3,12.5,251.5,,0,0,,0,0,,
2/26/2015,,12.5,251.5,,0,0,,0,0,,
2/27/2015,6.4,18.9,257.9,,0,0,,0,0,riverview park is a big snowy mess!,
2/28/2015,,14.8,257.9,,0,0,,0,0,,1547.4
3/1/2015,10,24.8,267.9,,0,0,,0,0,Old Mills trail is also a mess.,
3/2/2015,3.4,25.5,271.3,,0,0,,0,0,,
3/3/2015,,22.8,271.3,,0,0,,0,0,,
3/4/2015,4.5,24.3,275.8,,0,0,,0,0,,
3/5/2015,3,27.3,278.8,,0,0,,0,0,,
3/6/2015,,20.9,278.8,,0,0,,0,0,,
3/7/2015,5.5,26.4,284.3,,0,0,,0,0,,1572.265152
3/8/2015,9.6,26,293.9,,0,0,,0,0,,
3/9/2015,4.1,26.7,298,,0,0,,0,0,,
3/10/2015,,26.7,298,,0,0,,0,0,,
3/11/2015,,22.2,298,,0,0,,0,0,,
3/12/2015,5,24.2,303,,0,0,,0,0,Brussels,
3/13/2015,6,30.2,309,,0,0,,0,0,Brussels,
3/14/2015,,24.7,309,,0,0,,0,0,,
3/15/2015,5,20.1,314,,0,0,,0,0,Le Havre,
3/16/2015,10,26,324,,0,0,,0,0,Le Havre,
3/17/2015,4,30,328,,0,0,,0,0,Le Havre,
3/18/2015,,30,328,,0,0,,0,0,,
3/19/2015,7.8,32.8,335.8,,0,0,,0,0,Aberdeen,
3/20/2015,3.8,30.6,339.6,,0,0,,0,0,Aberdeen,
3/21/2015,6.5,37.1,346.1,,0,0,,0,0,Aberdeen Park Run 22:26,
3/22/2015,,32.1,346.1,,0,0,,0,0,,
3/23/2015,11.5,33.6,357.6,,0,0,,0,0,Edinburgh,
3/24/2015,,29.6,357.6,,0,0,,0,0,,
3/25/2015,5.2,34.8,362.8,,0,0,,0,0,Gdansk,
3/26/2015,5.2,32.2,368,,0,0,,0,0,Gdansk,
3/27/2015,,28.4,368,,0,0,,0,0,,
3/28/2015,7.2,29.1,375.2,,0,0,,0,0,Krakow Park Run 21:56,
3/29/2015,3.3,32.4,378.5,,0,0,,0,0,Krakow,
3/30/2015,9.5,30.4,388,,0,0,,0,0,Krakow,
3/31/2015,,30.4,388,,0,0,,0,0,,
4/1/2015,4.9,30.1,392.9,,0,0,,0,0,Budapest,
4/2/2015,5.6,30.5,398.5,,0,0,,0,0,"Budapest (1,2,3,3,2,1)",
4/3/2015,5.4,35.9,403.9,,0,0,,0,0,Budapest,
4/4/2015,,28.7,403.9,,0,0,,0,0,,
4/5/2015,,25.4,403.9,,0,0,,0,0,,
4/6/2015,4,19.9,407.9,,0,0,,0,0,Sibiu,
4/7/2015,7.5,27.4,415.4,,0,0,,0,0,Sibiu,
4/8/2015,6.3,28.8,421.7,,0,0,,0,0,Brasov,
4/9/2015,,23.2,421.7,,0,0,,0,0,,
4/10/2015,9.8,27.6,431.5,,0,0,,0,0,Brasov,
4/11/2015,7.2,34.8,438.7,,0,0,,0,0,Brasov,
4/12/2015,,34.8,438.7,,0,0,,0,0,,
4/13/2015,4.6,35.4,443.3,,0,0,,0,0,Iasi,
4/14/2015,5.4,33.3,448.7,,0,0,,0,0,Chisinau,
4/15/2015,4.2,31.2,452.9,,0,0,,0,0,Chisinau,
4/16/2015,,31.2,452.9,,0,0,,0,0,,
4/17/2015,0.2,21.6,453.1,,0,0,,0,0,Chisinau,
4/18/2015,,14.4,453.1,,0,0,,0,0,,
4/19/2015,8.8,23.2,461.9,,0,0,,0,0,Budapest,
4/20/2015,,18.6,461.9,,0,0,,0,0,,
4/21/2015,,13.2,461.9,,0,0,,0,0,,
4/22/2015,2.2,11.2,464.1,,0,0,,0,0,Maleme,
4/23/2015,3.5,14.7,467.6,,0,0,,0,0,Maleme,
4/24/2015,,14.5,467.6,,0,0,,0,0,,
4/25/2015,7.8,22.3,475.4,,0,0,,0,0,Kissamos,
4/26/2015,2.1,15.6,477.5,,0,0,,0,0,Kissamos,
4/27/2015,,15.6,477.5,,0,0,,0,0,,
4/28/2015,,15.6,477.5,,0,0,,0,0,,
4/29/2015,0.5,13.9,478,,0,0,,0,0,Budapest (run to guitar shop!),
4/30/2015,4,14.4,482,,0,0,,0,0,Graz,
5/1/2015,,14.4,485.3,,0,0,,0,0,,
5/2/2015,3.3,9.9,491.6,,0,0,,0,0,Unken,
5/3/2015,6.3,14.1,491.6,,0,0,,0,0,Unterhaching,
5/4/2015,,14.1,494.1,,0,0,,0,0,,
5/5/2015,2.5,16.6,494.1,,0,0,,0,0,Berlin,
5/6/2015,,16.1,499.3,,0,0,,0,0,,
5/7/2015,5.2,20.3,502.3,,0,0,,0,0,Berlin,
5/8/2015,3,20.3,505.3,,0,0,,0,0,Berlin,
5/9/2015,5.3,22.3,510.6,,0,0,,0,0,Groningen,
5/10/2015,,16,510.6,,0,0,,0,0,,
5/11/2015,3.3,19.3,513.9,,0,0,,0,0,Groningen,
5/12/2015,,16.8,513.9,,0,0,,0,0,,
5/13/2015,4.1,20.9,518,,0,0,,0,0,USA,
5/14/2015,5,20.7,523,,0,0,,0,0,,
5/15/2015,2.7,20.4,525.7,,0,0,,0,0,,
5/16/2015,2.2,17.3,527.9,,0,0,,0,0,,
5/17/2015,,17.3,527.9,17,17,17,,0,0,,
5/18/2015,4.1,18.1,532,,17,17,,0,0,Hot,
5/19/2015,6.3,24.4,538.3,,17,17,,0,0,Calf tugged third of a mile before finishing so I stopped,
5/20/2015,,20.3,538.3,,17,17,,0,0,,
5/21/2015,0.3,15.6,538.6,,17,17,,0,0,Calf broken. I stopped and limped back,
5/22/2015,,12.9,538.6,,17,17,,0,0,:-( without non-runner exercise equipment,
5/23/2015,,10.7,538.6,,17,17,,0,0,:-( without non-runner exercise equipment,
5/24/2015,,10.7,538.6,,0,17,,0,0,:-( without non-runner exercise equipment,
5/25/2015,,6.6,538.6,,0,17,,0,0,:-( without non-runner exercise equipment,
5/26/2015,,0.3,538.6,7,7,24,,0,0,,
5/27/2015,,0.3,538.6,17,24,41,,0,0,,
5/28/2015,,0,538.6,13,37,54,,0,0,,
5/29/2015,,0,538.6,,37,54,,0,0,,
5/30/2015,,0,538.6,30,67,84,,0,0,,
5/31/2015,1,1,539.6,,67,84,,0,0,,
6/1/2015,1,2,540.6,,67,84,,0,0,,
6/2/2015,,2,540.6,34,94,118,,0,0,,
6/3/2015,,2,540.6,,77,118,,0,0,,
6/4/2015,0.6,2.6,541.2,,64,118,,0,0,,
6/5/2015,0.6,3.2,541.8,,64,118,,0,0,,
6/6/2015,0.4,3.6,542.2,26.3,60.3,144.3,,0,0,,
6/7/2015,,2.6,542.2,18,78.3,162.3,,0,0,,
6/8/2015,,1.6,542.2,18,96.3,180.3,,0,0,,
6/9/2015,,1.6,542.2,,62.3,180.3,,0,0,,
6/10/2015,0.4,2,542.6,24,86.3,204.3,,0,0,,
6/11/2015,,1.4,542.6,,86.3,204.3,,0,0,,
6/12/2015,,0.8,542.6,,86.3,204.3,,0,0,,
6/13/2015,,0.4,542.6,17,77,221.3,,0,0,,
6/14/2015,,0.4,542.6,,59,221.3,,0,0,,
6/15/2015,,0.4,542.6,18,59,239.3,,0,0,,
6/16/2015,0.7,1.1,543.3,,59,239.3,,0,0,,
6/17/2015,,0.7,543.3,20,55,259.3,,0,0,,
6/18/2015,,0.7,543.3,17,72,276.3,,0,0,,
6/19/2015,,0.7,543.3,,72,276.3,,0,0,,
6/20/2015,,0.7,543.3,,55,276.3,,0,0,,
6/21/2015,,0.7,543.3,21,76,297.3,,0,0,,
6/22/2015,,0.7,543.3,,58,297.3,,0,0,,
6/23/2015,,0,543.3,,58,297.3,,0,0,,
6/24/2015,,0,543.3,13,51,310.3,,0,0,,
6/25/2015,,0,543.3,,34,310.3,1000,1000,1000,,
6/26/2015,,0,543.3,4,38,314.3,,1000,1000,,
6/27/2015,,0,543.3,,38,314.3,,1000,1000,,
6/28/2015,,0,543.3,6,23,320.3,,1000,1000,,
6/29/2015,,0,543.3,17,40,337.3,,1000,1000,,
6/30/2015,,0,543.3,,40,337.3,,1000,1000,,
7/1/2015,,0,543.3,4,31,341.3,,1000,1000,,
7/2/2015,,0,543.3,18.4,49.4,359.7,,0,1000,,1083.631148
7/3/2015,,0,543.3,,45.4,359.7,,0,1000,,
7/4/2015,0.6,0.6,543.9,,45.4,359.7,,0,1000,,
7/5/2015,,0.6,543.9,,39.4,359.7,,0,1000,,
7/6/2015,,0.6,543.9,4,26.4,363.7,,0,1000,,
7/7/2015,0.6,1.2,544.5,,26.4,363.7,,0,1000,,
7/8/2015,,1.2,544.5,4,26.4,367.7,,0,1000,,
7/9/2015,0.6,1.8,545.1,11,19,378.7,,0,1000,,
7/10/2015,,1.8,545.1,8.5,27.5,387.2,,0,1000,,
7/11/2015,,1.2,545.1,,27.5,387.2,,0,1000,,
7/12/2015,,1.2,545.1,,27.5,387.2,,0,1000,,
7/13/2015,0.7,1.9,545.8,,23.5,387.2,,0,1000,,
7/14/2015,,1.3,545.8,,23.5,387.2,,0,1000,,
7/15/2015,0.3,1.6,546.1,,19.5,387.2,,0,1000,,
7/16/2015,,1,546.1,13.5,22,400.7,,0,1000,,
7/17/2015,,1,546.1,19.5,33,420.2,,0,1000,,
7/18/2015,,1,546.1,30.8,63.8,451,,0,1000,,
7/19/2015,0.5,1.5,546.6,,63.8,451,,0,1000,,
7/20/2015,,0.8,546.6,38,101.8,489,,0,1000,,
7/21/2015,,0.8,546.6,,101.8,489,,0,1000,,
7/22/2015,,0.5,546.6,4,105.8,493,,0,1000,,
7/23/2015,,0.5,546.6,20.5,112.8,513.5,,0,1000,,
7/24/2015,,0.5,546.6,,93.3,513.5,,0,1000,,
7/25/2015,,0.5,546.6,,62.5,513.5,,0,1000,,
7/26/2015,,0,546.6,17.7,80.2,531.2,,0,1000,,
7/27/2015,,0,546.6,5,47.2,536.2,,0,1000,,
7/28/2015,,0,546.6,17,64.2,553.2,,0,1000,,
7/29/2015,,0,546.6,17,77.2,570.2,,0,1000,,
7/30/2015,,0,546.6,,56.7,570.2,,0,1000,,
7/31/2015,,0,546.6,,56.7,570.2,,0,1000,,
8/1/2015,,0,546.6,9.25,65.95,579.45,,0,1000,,
8/2/2015,,0,546.6,,48.25,579.45,,0,1000,,
8/3/2015,,0,546.6,,43.25,579.45,,0,1000,,
8/4/2015,,0,546.6,,26.25,579.45,,0,1000,,
8/5/2015,,0,546.6,20,29.25,599.45,,0,1000,,
8/6/2015,,0,546.6,,29.25,599.45,,0,1000,,
8/7/2015,,0,546.6,34.45,63.7,633.9,,0,1000,,
8/8/2015,,0,546.6,,54.45,633.9,,0,1000,,
8/9/2015,,0,546.6,,54.45,633.9,,0,1000,,
8/10/2015,,0,546.6,7,61.45,640.9,,0,1000,,
8/11/2015,,0,546.6,20,81.45,660.9,,0,1000,,
8/12/2015,,0,546.6,,61.45,660.9,,0,1000,,
8/13/2015,,0,546.6,,61.45,660.9,,0,1000,,
8/14/2015,,0,546.6,,27,660.9,,0,1000,,
8/15/2015,,0,546.6,,27,660.9,,0,1000,,
8/16/2015,,0,546.6,,27,660.9,,0,1000,,
8/17/2015,,0,546.6,,20,660.9,,0,1000,,
8/18/2015,,0,546.6,,0,660.9,,0,1000,,
8/19/2015,,0,546.6,,0,660.9,,0,1000,,
8/20/2015,,0,546.6,,0,660.9,,0,1000,,
8/21/2015,,0,546.6,5,5,665.9,,0,1000,,
8/22/2015,,0,546.6,5,10,670.9,,0,1000,,
8/23/2015,,0,546.6,5,15,675.9,,0,1000,,
8/24/2015,,0,546.6,5,20,680.9,,0,1000,,
8/25/2015,1,1,547.6,5,25,685.9,,0,1000,,
8/26/2015,,1,547.6,5,30,690.9,,0,1000,,
8/27/2015,,1,547.6,5,35,695.9,,0,1000,,
8/28/2015,,1,547.6,17,47,712.9,,0,1000,,
8/29/2015,,1,547.6,17,59,729.9,,0,1000,,
8/30/2015,,1,547.6,5,59,734.9,,0,1000,,
8/31/2015,,1,547.6,5,59,739.9,,0,1000,,
9/1/2015,1,1,548.6,5,59,744.9,,0,1000,,
9/2/2015,,1,548.6,5,59,749.9,,0,1000,,
9/3/2015,,1,548.6,5,59,754.9,,0,1000,,
9/4/2015,,1,548.6,2.5,44.5,757.4,,0,1000,,
9/5/2015,,1,548.6,25,52.5,782.4,,0,1000,bike over golden gate bridge,
9/6/2015,,1,548.6,5,52.5,787.4,,0,1000,,
9/7/2015,,1,548.6,5,52.5,792.4,,0,1000,,
9/8/2015,,0,548.6,5,52.5,797.4,,0,1000,,
9/9/2015,,0,548.6,5,52.5,802.4,,0,1000,,
9/10/2015,,0,548.6,5,52.5,807.4,,0,1000,,
9/11/2015,1,1,549.6,2.5,52.5,809.9,,0,1000,,
9/12/2015,,1,549.6,,27.5,809.9,,0,1000,,
9/13/2015,,1,549.6,,22.5,809.9,,0,1000,,
9/14/2015,,1,549.6,,17.5,809.9,,0,1000,,
9/15/2015,,1,549.6,,12.5,809.9,,0,1000,,
9/16/2015,,1,549.6,,7.5,809.9,,0,1000,,
9/17/2015,,1,549.6,,2.5,809.9,,0,1000,,
9/18/2015,,0,549.6,,0,809.9,,0,1000,,
9/19/2015,,0,549.6,,0,809.9,,0,1000,,
9/20/2015,,0,549.6,,0,809.9,,0,1000,,
9/21/2015,,0,549.6,,0,809.9,,0,1000,,
9/22/2015,,0,549.6,,0,809.9,,0,1000,,
9/23/2015,,0,549.6,,0,809.9,,0,1000,,
9/24/2015,,0,549.6,,0,809.9,,0,1000,,
9/25/2015,,0,549.6,,0,809.9,,0,1000,,
9/26/2015,,0,549.6,,0,809.9,,0,1000,,
9/27/2015,,0,549.6,,0,809.9,,0,1000,,
9/28/2015,,0,549.6,,0,809.9,,0,1000,,
9/29/2015,,0,549.6,,0,809.9,,0,1000,,
9/30/2015,,0,549.6,,0,809.9,,0,1000,,
10/1/2015,,0,549.6,,0,809.9,,0,1000,,
10/2/2015,,0,549.6,,0,809.9,,0,1000,,
10/3/2015,,0,549.6,,0,809.9,,0,1000,,
10/4/2015,,0,549.6,,0,809.9,,0,1000,,
10/5/2015,,0,549.6,,0,809.9,,0,1000,,
10/6/2015,,0,549.6,,0,809.9,,0,1000,,
10/7/2015,,0,549.6,,0,809.9,,0,1000,,
10/8/2015,,0,549.6,,0,809.9,,0,1000,,
10/9/2015,,0,549.6,,0,809.9,,0,1000,,
10/10/2015,,0,549.6,,0,809.9,,0,1000,,
10/11/2015,,0,549.6,,0,809.9,,0,1000,,
10/12/2015,,0,549.6,,0,809.9,,0,1000,,
10/13/2015,,0,549.6,,0,809.9,,0,1000,,
10/14/2015,,0,549.6,,0,809.9,,0,1000,,
10/15/2015,,0,549.6,,0,809.9,,0,1000,,
10/16/2015,,0,549.6,,0,809.9,,0,1000,,
10/17/2015,,0,549.6,,0,809.9,,0,1000,,
10/18/2015,,0,549.6,,0,809.9,,0,1000,,
10/19/2015,,0,549.6,,0,809.9,,0,1000,,
10/20/2015,,0,549.6,,0,809.9,,0,1000,,
10/21/2015,,0,549.6,,0,809.9,,0,1000,,
10/22/2015,,0,549.6,,0,809.9,,0,1000,,
10/23/2015,,0,549.6,,0,809.9,,0,1000,,
10/24/2015,,0,549.6,,0,809.9,,0,1000,,
10/25/2015,,0,549.6,,0,809.9,,0,1000,,
10/26/2015,,0,549.6,,0,809.9,,0,1000,,
10/27/2015,,0,549.6,,0,809.9,,0,1000,,
10/28/2015,,0,549.6,,0,809.9,,0,1000,,
10/29/2015,,0,549.6,,0,809.9,,0,1000,,
10/30/2015,,0,549.6,,0,809.9,,0,1000,,
10/31/2015,,0,549.6,,0,809.9,,0,1000,,
11/1/2015,,0,549.6,,0,809.9,,0,1000,,
11/2/2015,,0,549.6,,0,809.9,,0,1000,,
11/3/2015,,0,549.6,,0,809.9,,0,1000,,
11/4/2015,,0,549.6,,0,809.9,,0,1000,,
11/5/2015,,0,549.6,,0,809.9,,0,1000,,
11/6/2015,,0,549.6,,0,809.9,,0,1000,,
11/7/2015,,0,549.6,,0,809.9,,0,1000,,
11/8/2015,,0,549.6,,0,809.9,,0,1000,,
11/9/2015,,0,549.6,,0,809.9,,0,1000,,
11/10/2015,,0,549.6,,0,809.9,,0,1000,,
11/11/2015,,0,549.6,,0,809.9,,0,1000,,
11/12/2015,,0,549.6,,0,809.9,,0,1000,,
11/13/2015,,0,549.6,,0,809.9,,0,1000,,
11/14/2015,,0,549.6,,0,809.9,,0,1000,,
11/15/2015,,0,549.6,,0,809.9,,0,1000,,
11/16/2015,,0,549.6,,0,809.9,,0,1000,,
11/17/2015,,0,549.6,,0,809.9,,0,1000,,
11/18/2015,,0,549.6,,0,809.9,,0,1000,,
11/19/2015,,0,549.6,,0,809.9,,0,1000,,
11/20/2015,,0,549.6,,0,809.9,,0,1000,,
11/21/2015,,0,549.6,,0,809.9,,0,1000,,
11/22/2015,,0,549.6,,0,809.9,,0,1000,,
11/23/2015,,0,549.6,,0,809.9,,0,1000,,
11/24/2015,,0,549.6,,0,809.9,,0,1000,,
11/25/2015,,0,549.6,,0,809.9,,0,1000,,
11/26/2015,,0,549.6,,0,809.9,,0,1000,,
11/27/2015,,0,549.6,,0,809.9,,0,1000,,
11/28/2015,,0,549.6,,0,809.9,,0,1000,,
11/29/2015,,0,549.6,,0,809.9,,0,1000,,
11/30/2015,,0,549.6,,0,809.9,,0,1000,,
12/1/2015,,0,549.6,,0,809.9,,0,1000,,
12/2/2015,,0,549.6,,0,809.9,,0,1000,,
12/3/2015,,0,549.6,,0,809.9,,0,1000,,
12/4/2015,,0,549.6,,0,809.9,,0,1000,,
12/5/2015,,0,549.6,,0,809.9,,0,1000,,
12/6/2015,,0,549.6,,0,809.9,,0,1000,,
12/7/2015,,0,549.6,,0,809.9,,0,1000,,
12/8/2015,,0,549.6,,0,809.9,,0,1000,,
12/9/2015,,0,549.6,,0,809.9,,0,1000,,
12/10/2015,,0,549.6,,0,809.9,,0,1000,,
12/11/2015,,0,549.6,,0,809.9,,0,1000,,
12/12/2015,,0,549.6,,0,809.9,,0,1000,,
12/13/2015,,0,549.6,,0,809.9,,0,1000,,
12/14/2015,,0,549.6,,0,809.9,,0,1000,,
12/15/2015,,0,549.6,,0,809.9,,0,1000,,
12/16/2015,,0,549.6,,0,809.9,,0,1000,,
12/17/2015,,0,549.6,,0,809.9,,0,1000,,
12/18/2015,,0,549.6,,0,809.9,,0,1000,,
12/19/2015,,0,549.6,,0,809.9,,0,1000,,
12/20/2015,,0,549.6,,0,809.9,,0,1000,,
12/21/2015,,0,549.6,,0,809.9,,0,1000,,
12/22/2015,,0,549.6,,0,809.9,,0,1000,,
12/23/2015,,0,549.6,,0,809.9,,0,1000,,
12/24/2015,,0,549.6,,0,809.9,,0,1000,,
12/25/2015,,0,549.6,,0,809.9,,0,1000,,
12/26/2015,,0,549.6,,0,809.9,,0,1000,,
12/27/2015,,0,549.6,,0,809.9,,0,1000,,
12/28/2015,,0,549.6,,0,809.9,,0,1000,,
12/29/2015,,0,549.6,,0,809.9,,0,1000,,
12/30/2015,,0,549.6,,0,809.9,,0,1000,,
12/31/2015,,0,549.6,,0,809.9,,0,1000,,
